patron_id,type,first_name,last_name,company,created_at,email1,email2,title,tags,background_info,lifetime_donations,donation_date,donation_amount
8977,Person,James,Baker,,2020-01-19 00:00:00,walkerjeremy@long.org,hfoster@yahoo.com,Dr,Student Scholar,,,,
2798,Person,Jessica,Sheppard,,2019-08-20 00:00:00,tarasanchez@robinson.com,cgreen@hotmail.com,Mr,"Summer 2016, Major Donor",Job Title: Graphic Designer; Marital Status: Married,,,
3660,Company,,,Vaughn LLC,2018-03-20 00:00:00,wcochran@hotmail.com,mckeeeric@ellis.com,,Summer 2016,Marital Status: Married,,,
5966,Person,Jared,Burns,,2024-04-24 00:00:00,gmartinez@koch.org,williamsanna@yahoo.com,Dr,"Pitch Perfect, Major Donor",Job Title: Administrative Assistant; Marital Status: Single,"$13,100.00",2024-02-14,"$10,000.00"
5034,Person,courtney,haney,Lawrence LLC,2017-07-02 00:00:00,,,Mr,Pitch Perfect,,"$1,500.00",2022-07-25,$250.00
5287,Company,,,Retired,2021-10-30 00:00:00,theodorewilson@blair.com,stephenweeks@barron.com,,"Student Scholar, Board Member, Major Donor",,"$9,000.00",2023-08-15,"$5,000.00"
8101,Person,James,Pope,,2019-05-09 00:00:00,howardcarlos@gmail.com,,Ms,,Job Title: Sales Executive; Marital Status: Married,"$4,500.00",2023-04-02,$500.00
8548,Person,Nicholas,Cooper,,2022-09-25 00:00:00,laurenfields@yahoo.com,oserrano@hotmail.com,,"Pitch Perfect, Summer 2016, Board Member",,"$6,500.00",2022-01-01,$500.00
7040,Person,Patrick,Woods,,2022-04-19 00:00:00,vanessa45@yaho.com,,,Summer 2016,,$100.00,2024-07-25,$100.00
6523,Person,Michele,Burton,,2016-12-31 00:00:00,,,Mr,"Summer 2016, Major Donor",,,,
9432,Company,,,"Green, Evans and Evans",2021-02-13 00:00:00,perezsarah@yahoo.com,cynthiaholmes@brennan.com,,"Student Scholar, Summer 2016",Job Title: Marketing Manager; Marital Status: Married,"$15,000.00",2019-06-20,"$10,000.00"
3194,Person,David,Villanueva,,2022-12-16 00:00:00,collierdiana@ortiz.com,,,"Student Scholar, Pitch Perfect, Summer 2016",Job Title: Marketing Manager,"$5,050.00",2020-03-23,"$5,000.00"
6339,Person,Allen,Valentine,,2022-10-15 00:00:00,mckaylinda@hotmail.com,,,"Student Scholar, Major Donor",Job Title: Operations Manager; Marital Status: Single,"$1,500.00",2022-07-24,"$1,000.00"
3054,Person,cody,WRIGHT,,2022-08-05 00:00:00,yjohns@bass.com,,Dr,"Board Member, Major Donor",,,,
9827,Person,Cynthia,Vasquez,,2021-09-12 00:00:00,ryan82@yahoo.com,mark55@yahoo.com,Ms,"Major Donor, Board Member",Job Title: Business Analyst; Marital Status: Married,"$1,250.00",2024-12-26,"$1,000.00"
1288,Person,Rebecca,Maynard,,2021-06-23 00:00:00,fsteele@hotmail.com,ellendavis@smith.com,Mrs,"Summer 2016, Major Donor",Job Title: Data Scientist; Marital Status: Single,$700.00,2023-04-01,$100.00
5032,Company,,,Johnson-Mills,2018-03-21 00:00:00,allen24@yahoo.com,monicadiaz@hotmail.com,,"Major Donor 2022, Pitch Perfect, Major Donor",,"$3,050.00",2021-12-13,$50.00
3240,Company,,,Davis-Anthony,2018-03-09 00:00:00,hartjames@hotmail.com,hhoward@silva.org,,Pitch Perfect,Job Title: Nurse Practitioner,"$2,000.00",2020-09-16,"$1,000.00"
8308,Person,Robert,Donovan,,2021-01-20 00:00:00,jennifernorton@hotmail.com,,Ms,Pitch Perfect,,$500.00,2020-04-27,$250.00
3434,Person,Anne,Martinez,,2018-05-23 00:00:00,mooresusan@yaho.com,richardallen@gmail.com,Dr,"Board Member, Major Donor",Job Title: Financial Analyst; Marital Status: Single,"$1,500.00",2021-08-02,"$1,000.00"
5049,Person,Robert,Powers,,2017-04-02 00:00:00,sperez@martinez.com,alexanderjoseph@hotmail.com,Mrs,"Pitch Perfect, Summer 2016, Major Donor",,"$3,100.00",2024-08-04,"$3,000.00"
6846,Person,James,Nichols,,2022-02-04 00:00:00,andreahines@yahoo.com,courtneychang@hotmail.com,Rev,"Summer 2016, Major Donor",,$100.00,2020-03-11,$100.00
6020,Person,Katherine & Dan,Johnson,,2015-12-26 00:00:00,,,,"Student Scholar, Pitch Perfect, Major Donor",Job Title: UX Designer,"$5,000.00",2023-03-01,"$5,000.00"
4348,Company,,,Ramos PLC,2015-11-27 00:00:00,cmarshall@hobbs.net,,,"Student Scholar, Summer 2016, Major Donor",,"$4,000.00",2020-08-20,"$3,000.00"
2976,Unknown,,,,2022-05-25 00:00:00,ssanders@hotmail.com,,,,,"$4,000.00",2024-03-17,"$3,000.00"
8309,Company,,,Stephenson Ltd,2021-07-20 00:00:00,,,,"Summer 2016, Board Member",Job Title: Nurse Practitioner,$150.00,2020-11-10,$50.00
9859,Person,james,BURNS,,2015-06-24 00:00:00,harperluke@gmail.com,millsfrank@hudson.com,Dr,"Pitch Perfect, Major Donor",Job Title: Administrative Assistant,"$3,050.00",2019-12-12,"$3,000.00"
5301,Person,Maureen,Weber,,2021-08-09 00:00:00,corey36@gmail.com,zacharywilliams@hotmail.com,,"VIP, Pitch Perfect, Summer 2016, Major Donor",Job Title: Business Analyst,"$20,000.00",2022-12-24,"$10,000.00"
5767,Person,Chase,Pena,,2020-11-20 00:00:00,richard99@hampton.com,,Mr. and Mrs.,"Tag Test, Pitch Perfect, Major Donor",Job Title: Graphic Designer; Marital Status: Married,"$5,350.00",2024-12-20,$250.00
4926,Person,Joshua,Rush,,2018-03-20 00:00:00,,,Rev,,,"$10,600.00",2020-04-17,$100.00
1089,Person,Erica,Simmons,...,2016-04-16 00:00:00,samantha08@hotmail.com,andrewsrandy@howard.com,Mrs,"Student Scholar, Summer 2016, Major Donor",Job Title: Business Analyst; Marital Status: Single,"$1,550.00",2018-10-07,$500.00
4051,Person,Julia,Spencer,,2024-01-28 00:00:00,william10@hotmail.com,barrettsean@yahoo.com,Mr,Major Donor,Job Title: Accountant; Marital Status: Married,"$4,050.00",2024-09-05,$50.00
3514,Person,Kevin,Howard,,2015-11-07 00:00:00,christopher25@rodriguez.com,plam@hotmail.com,Mrs,"Pitch Perfect, Summer 2016, Major Donor",,"$10,500.00",2024-07-06,$250.00
3953,Person,Kelly,Jimenez,,2018-02-16 00:00:00,greg46@hotmail.com,gregoryschmidt@outlok.com,,"Student Scholar, Pitch Perfect, Major Donor",Marital Status: Single,"$10,750.00",2024-05-04,$250.00
6366,Person,julie,mcgrath,,2020-09-13 00:00:00,bjones@hotmail.com,michellemorgan@walker.com,Mrs,"Student Scholar, Summer 2016, Major Donor",Job Title: Sales Executive,"$6,000.00",2023-03-27,$500.00
4566,Company,,,"Banks, Watkins and Gomez",2018-12-09 00:00:00,cynthiarogers@moore.info,,,"Board Member, Major Donor",Job Title: Chief Technology Officer; Marital Status: Single,"$11,000.00",2023-02-06,$500.00
5418,Person,nicholas,johnson,,2015-12-21 00:00:00,wustephanie@hotmail.com,,Dr,"Summer 2016, Board Member, Major Donor",Marital Status: Married,"$11,000.00",2021-03-21,"$10,000.00"
3677,Company,,,duncan group,2015-04-14 00:00:00,april70@hernandez.biz,elizabethjones@gmail.com,,"Student Scholar, Pitch Perfect, Summer 2016",Marital Status: Single,"$13,050.00",2022-06-01,"$3,000.00"
6822,Person,Nicole,Benson,,2022-10-30 00:00:00,,,Mr. and Mrs.,"Student Scholar, Major Donor, Board Member",Job Title: UX Designer; Marital Status: Single,"$10,200.00",2023-05-14,$100.00
7564,Person,connie,lyons,Dodson-Austin,2017-09-23 00:00:00,,,Mrs,,Marital Status: Married,$600.00,2022-07-29,$100.00
4036,Person,Grant,Brennan,"Guerrero, Diaz and Odom",2018-11-27 00:00:00,,,Mr,"Student Scholar, Pitch Perfect, Summer 2016, Major Donor",Job Title: IT Consultant; Marital Status: Single,"$15,000.00",2020-12-08,"$10,000.00"
9655,Person,maria,KELLEY,,2018-06-30 00:00:00,christopher66@gmail.com,garciamark@parker.info,Ms,"Pitch Perfect, Major Donor",,$200.00,2021-11-26,$50.00
1459,Person,Katherine,Jones,,2022-08-06 00:00:00,herringstanley@yaho.com,,Rev,"Pitch Perfect, Summer 2016, Major Donor",Job Title: Software Engineer; Marital Status: Single,"$25,000.00",2021-04-28,"$10,000.00"
8265,Person,Patricia,Curtis,,2019-09-24 00:00:00,jessicaramirez@kim-clark.com,rowens@yahoo.com,Dr,"Pitch Perfect, Summer 2016, Major Donor",Job Title: Project Manager; Marital Status: Married,"$8,000.00",2019-07-06,"$3,000.00"
